ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
204,Johnstone,WOL,GK,4.4,1.13364,1.15809,0.83356,1.03062,0.99237,1.28614,0.94594
205,Kamada,CRY,MID,5.1,0,1.45503,1.59968,1.49137,1.60528,1.73219,1.58665
206,Lerma,CRY,MID,4.8,1.70616,1.76453,1.79045,1.8249,1.81055,2.0135,1.87902
207,Mateta,CRY,FWD,7.2,2.42912,2.36702,2.36122,2.41047,2.37184,2.84554,2.47273
208,M.França,CRY,MID,4.4,0,0,0,0,0.01705,0.0183,0.93
209,Matthews,CRY,GK,4,0.0064,0.00778,0.00791,0.00678,0.00806,0.00601,0.00683
210,Mitchell,CRY,DEF,4.9,2.48963,2.61026,2.65751,2.60523,2.63852,2.55383,2.66401
211,Muñoz,CRY,DEF,4.7,2.41448,2.3914,2.57067,2.39307,2.55461,2.38686,2.47057
212,Ozoh,CRY,MID,4.5,0,0,0,0,0,0,0
213,Rak-Sakyi,CRY,MID,4.5,0,0,0,0,0,0,0
214,Schlupp,CRY,MID,4.7,1.24433,1.23638,1.30807,1.27898,1.32258,1.41169,1.3007
215,Ward,CRY,DEF,4.3,0.05143,0.05253,0.05586,0.05216,0.05542,0.0473,0.05222
216,Wharton,CRY,MID,4.7,0.02424,1.52796,1.84373,1.9391,1.93373,2.1373,2.05471
217,A.Doucoure,EVE,MID,5.1,2.55028,2.16117,2.00909,2.28,2.05549,2.37148,2.15138
218,Beto,EVE,FWD,5,1.4013,1.10334,1.01402,1.17683,1.05536,1.31557,1.23575
219,Branthwaite,EVE,DEF,4.8,2.1509,2.19381,2.64804,2.19209,2.64455,2.07277,2.30051
220,Calvert-Lewin,EVE,FWD,5.6,2.78379,2.33384,2.1347,2.44008,2.19218,2.65039,2.46176
221,Coleman,EVE,DEF,4.3,0.03199,0.12287,0.29995,0.33915,0.44613,0.3826,0.41301
222,Gana,EVE,MID,4.9,2.37427,2.1047,2.07578,2.16592,2.10959,2.25254,2.19701
223,Garner,EVE,MID,4.9,0,0,0,0,0,0,0
224,Harrison,EVE,MID,5.3,2.13924,1.82978,1.68201,1.93913,1.72339,2.01794,1.80641
225,Holgate,EVE,DEF,4,0,0,0,0,0,0,0
226,Iroegbunam,EVE,MID,4.4,0,0,0,0,0,0,0
227,J.Virginia,EVE,GK,4,0.00665,0.00742,0.009,0.00687,0.009,0.00657,0.00806
228,Keane,EVE,DEF,4.2,1.13387,1.14262,1.38971,1.14446,1.38931,1.08639,1.20591
229,Maupay,EVE,FWD,4.9,0.72076,0.59635,0.53269,0.63204,0.51647,0.67611,0.66025
230,McNeil,EVE,MID,5.6,3.67258,3.01816,2.77705,3.26043,2.91223,3.37638,3.08419
231,Mykolenko,EVE,DEF,4.3,2.3635,2.36776,2.75908,2.37298,2.75666,2.27979,2.44164
232,Ndiaye,EVE,FWD,5.4,2.75471,2.3161,2.1,2.43295,2.15454,2.65133,2.40268
233,Onana,AVL,MID,4.9,1.36948,1.82168,1.89622,1.82051,1.92825,1.93933,2.10024
234,Patterson,EVE,DEF,4.4,0.01254,0.01264,0.01569,0.01267,0.01571,0.01198,0.01364
235,Pickford,EVE,GK,4.9,3.38788,3.74039,4.38042,3.48384,4.38159,3.34353,3.93794
236,Tarkowski,EVE,DEF,4.8,2.9752,2.77327,3.10944,2.82912,3.13166,2.82565,2.91099
237,"Y. Chermiti",EVE,FWD,4.9,0,0,0,0,0,0,0
238,Young,EVE,DEF,4.6,2.46192,2.34696,2.73918,2.38724,2.75151,2.3419,2.50036
239,Adama,FUL,MID,4.9,2.4559,2.08986,1.94205,2.62432,2.21592,2.62412,2.60899
