ID,Name,Team,Pos,Price,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts
110,Wissa,BRE,FWD,6.3,2.43601,2.54371,2.94746,2.62133,2.55191,2.55906,2.74077,2.58936
111,Yarmoliuk,BRE,MID,4.4,1.26195,1.2913,1.42379,1.30168,1.29697,1.31614,1.34274,1.32467
112,Zanka,BRE,DEF,4.5,0,0,0,0,0,0,0,0
113,Adingra,BHA,MID,5.2,1.31355,1.16997,1.15567,1.21234,1.21762,1.30876,1.18132,1.21951
114,Baker-Boaitey,BHA,MID,4.5,0,0,0,0,0,0,0,0
115,Baleba,BHA,MID,5,1.90563,1.71865,1.78804,1.76206,1.80056,1.94801,1.75852,1.8094
116,Barco,BHA,DEF,4,0,0,0,0,0,0,0,0
117,Buonanotte,LEI,MID,4.9,1.72785,1.72969,1.89232,1.88415,1.82973,2.09234,1.85104,1.65813
118,Cozier-Duberry,BHA,MID,4.5,0,0,0,0,0,0,0,0
119,Dahoud,BHA,MID,4.9,0.00822,0.00833,0.00726,0.00735,0.00805,0.00883,0.0082,0.0082
120,Dunk,BHA,DEF,4.4,2.29558,2.63009,2.35821,2.28331,2.52562,2.2166,2.41007,2.38072
121,Enciso,BHA,MID,5.4,0.90221,0.82913,0.77338,0.86315,0.86438,0.88377,0.83036,0.8063
122,Estupiñan,BHA,DEF,5.1,2.74667,2.87449,2.65559,2.5903,2.8083,2.67765,2.67377,2.74029
123,Ferguson,BHA,FWD,5.5,1.76966,1.56617,1.50589,1.77062,1.70329,1.82975,1.66892,1.5481
124,Gilmour,BHA,MID,5,1.90472,1.93845,1.72192,1.68986,1.88571,2.03741,1.91112,1.88806
125,Gross,BHA,MID,6.5,0,0,0,0,0,0,0,0
126,Hinshelwood,BHA,MID,4.9,0.17686,0.60906,1.29134,1.70552,1.88971,2.12525,1.90796,1.99533
127,I.Osman,BHA,MID,5,0,0,0,0,0,0,0,0
128,Igor,BHA,DEF,4.4,1.34367,1.53983,1.39173,1.30699,1.46653,1.29219,1.3956,1.40403
129,"João Pedro",BHA,FWD,5.9,2.79761,2.26832,2.39951,2.51228,2.42972,2.85689,2.38754,2.45374
130,Kozlowski,BHA,MID,4.5,0,0,0,0,0,0,0,0
131,Lamptey,BHA,DEF,4.4,1.74639,2.03149,1.78018,1.73057,1.93924,1.66924,1.83425,1.82079
132,March,BHA,MID,6.5,2.16217,2.52873,2.46821,2.8186,2.72886,2.88869,2.62079,2.71609
133,Mazilu,BHA,MID,4.5,0,0,0,0,0,0,0,0
134,Milner,BHA,MID,5,0.16296,0.59164,1.1621,1.64095,1.74434,1.81495,1.71946,1.68417
135,Minteh,BHA,MID,5.1,1.83557,1.68988,1.57962,1.8165,1.78119,1.84267,1.70682,1.70684
136,Mitoma,BHA,MID,6.5,3.15975,2.64211,2.64431,2.79103,2.72142,3.06787,2.62295,2.89356
137,Moder,BHA,MID,4.4,0.17131,0.15488,0.15376,0.15708,0.16171,0.17132,0.15706,0.15642
138,O’Mahony,BHA,FWD,4.5,0,0,0,0,0,0,0,0
139,Offiah,BHA,DEF,4,0,0,0,0,0,0,0,0
140,Peupion,BHA,MID,4.4,6.0E-5,5.0E-5,5.0E-5,6.0E-5,6.0E-5,6.0E-5,5.0E-5,5.0E-5
141,Sarmiento,BHA,MID,4.9,0,0,0,0,0,0,0,0
142,Steele,BHA,GK,4.2,0.192,0.27445,0.20287,0.2105,0.27025,0.18515,0.23829,0.21074
143,Undav,BHA,FWD,5.5,0,0,0,0,0,0,0,0
144,"Van Hecke",BHA,DEF,4.5,2.39434,2.78214,2.44672,2.44015,2.69119,2.31363,2.57478,2.4666
145,Veltman,BHA,DEF,4.5,1.98201,2.2557,2.0326,1.93774,2.16166,1.91082,2.06009,2.0465
146,Verbruggen,BHA,GK,4.5,3.08002,4.24877,3.2574,3.23963,4.18253,2.9727,3.67816,3.37711
147,Webster,BHA,DEF,4.3,0.24415,0.38205,0.38056,0.37843,0.42621,0.36525,0.40536,0.40364
148,Welbeck,BHA,FWD,5.7,0.14683,0.47048,1.00974,1.42848,1.54608,1.88212,1.60031,1.60856
149,Wieffer,BHA,MID,4.7,1.0239,1.22176,1.26156,1.37178,1.39466,1.44926,1.34819,1.32316
150,"Andrey Santos",CHE,MID,4.5,0,0,0,0,0,0,0,0
151,Ângelo,CHE,MID,4.5,0.01584,0.01372,0.01529,0.01575,0.01616,0.01368,0.01623,0.01455
152,Arrizabalaga,BOU,GK,4.5,3.16583,3.8804,2.97131,4.1657,4.13059,3.14296,3.60156,4.18279
153,B.Badiashile,CHE,DEF,4.3,0,0,0,0,0,0,0,0
154,Bergström,CHE,GK,3.9,0.0068,0.00626,0.00745,0.00686,0.00658,0.00881,0.00661,0.00787
155,Bettinelli,CHE,GK,3.9,0.0068,0.00626,0.00745,0.00686,0.00658,0.00881,0.00661,0.00787
156,Broja,EVE,FWD,5.4,1.11238,1.4045,1.26941,1.31293,1.2574,1.31668,1.52331,1.39841
157,Caicedo,CHE,MID,4.9,2.46505,2.58137,2.62002,2.55521,2.58359,2.42067,2.59538,2.5408
158,Casadei,CHE,MID,4.4,0.0217,0.02151,0.02266,0.02277,0.02288,0.02052,0.02293,0.02159
159,Chalobah,CRY,DEF,4.4,2.11256,1.95978,2.08351,2.14795,2.20404,2.04462,2.19106,1.98451
160,Chilwell,CHE,DEF,4.7,0.00389,0.00386,0.00421,0.00408,0.00408,0.00446,0.00408,0.00414
161,Chukwuemeka,CHE,MID,4.8,0.00441,0.00438,0.0045,0.00463,0.00469,0.00408,0.00472,0.00432
162,Colwill,CHE,DEF,4.6,2.28799,2.31208,2.53688,2.37425,2.35731,2.72183,2.3456,2.49983
163,Cucurella,CHE,DEF,5.2,1.77416,1.72688,1.91209,1.8566,1.8491,2.0769,1.84174,1.88336
164,D.D.Fofana,CHE,FWD,5.4,0.90738,0.77056,0.8144,0.89111,0.93044,0.67952,0.90999,0.79435
165,Deivid,CHE,FWD,4.9,0.0012,0.00127,0.00127,0.00124,0.00126,0.00104,0.00127,0.0012
166,Dewsbury-Hall,CHE,MID,5.5,0.40843,0.39473,0.40074,0.4344,0.44594,0.35875,0.45044,0.3847
167,Disasi,CHE,DEF,4.2,0.83074,0.82265,0.90839,0.86408,0.85821,0.99528,0.85368,0.89847
168,Enzo,CHE,MID,5.1,2.88075,3.23512,3.22871,3.03619,3.10788,2.95723,3.13568,3.1537
169,Gallagher,CHE,MID,5.9,2.32024,1.96547,2.07459,2.29398,2.3538,1.88226,2.43587,2.01596
170,Gilchrist,CHE,DEF,4,0,0,0,0,0,0,0,0
171,Gusto,CHE,DEF,4.9,2.2641,2.35069,2.57207,2.36525,2.36312,2.73223,2.35643,2.52426
172,James,CHE,DEF,4.8,0,0,0,0,0,0,0,0
173,Kellyman,CHE,MID,4.4,0,0,0,0,0,0,0,0
174,Lavia,CHE,MID,4.5,0.3271,0.65397,0.91294,1.05241,1.11639,0.9796,1.12033,1.02682
175,Lukaku,CHE,FWD,6.3,0,0,0,0,0,0,0,0
176,M.Sarr,CHE,DEF,4.5,0,0,0,0,0,0,0,0
177,Madueke,CHE,MID,6.3,2.4559,2.58028,2.53213,2.46498,2.54691,2.23853,2.57823,2.43798
178,"Marc Guiu",CHE,FWD,4.7,0.00805,0.00857,0.00857,0.00837,0.00849,0.00704,0.00856,0.00811
179,Mudryk,CHE,MID,6.2,0.76405,0.71625,0.73924,0.80717,0.82529,0.66986,0.83243,0.70889
180,N.Jackson,CHE,FWD,8.3,2.80604,2.59642,2.56927,2.80415,2.8387,2.18107,2.85847,2.43419
181,Nkunku,CHE,MID,5.8,1.73054,1.85286,1.85231,1.8002,1.85006,1.61876,1.86957,1.77982
182,Palmer,CHE,MID,11.3,5.59725,5.26378,4.80554,5.77353,6.14421,4.19366,6.28219,4.7381
183,Petrović,CHE,GK,4.4,0,0,0,0,0,0,0,0
184,"Renato Veiga",CHE,MID,4.5,0.4268,0.42271,0.45062,0.45215,0.45326,0.40451,0.45407,0.42693
185,Sánchez,CHE,GK,4.8,3.22431,3.54789,4.10856,3.25264,3.12105,4.75567,3.13598,4.30881
186,Sterling,ARS,MID,6.7,0,0,0,0,0,0,0,0
187,Tosin,CHE,DEF,4.2,1.27213,1.27458,1.42004,1.31899,1.30363,1.57507,1.29389,1.40686
188,Ugochukwu,SOU,MID,4.5,0.64073,0.64521,0.64294,0.61984,0.59872,0.62304,0.5993,0.63841
189,W.Fofana,CHE,DEF,4.4,0,0,0,0,0,0,0,0
190,Ahamada,CRY,MID,4.5,0,0,0,0,0,0,0,0
191,Andersen,FUL,DEF,4.2,2.64148,2.5458,2.44065,2.59428,2.55343,2.41455,2.65981,2.52469
192,J.Ayew,LEI,MID,5.2,1.49713,1.55602,1.58664,1.67589,1.62143,1.70752,1.61653,1.51395
193,C.Doucouré,CRY,MID,4.9,1.18483,1.29377,1.17734,1.33569,1.28528,1.28805,1.23488,1.28815
194,C.Richards,CRY,DEF,4.4,1.17722,1.05593,1.18786,1.15191,1.20991,1.12215,1.21763,1.07664
195,"Chadi Riad",CRY,DEF,4.3,0.94691,1.13987,1.398,1.48676,1.54324,1.41666,1.53884,1.3631
196,Clyne,CRY,DEF,4.3,1.42979,1.20386,1.37513,1.41891,1.4823,1.28909,1.4858,1.23169
197,Ebiowei,CRY,MID,4.5,0,0,0,0,0,0,0,0
198,Edouard,LEI,FWD,5.1,0.18406,0.19878,0.20312,0.2279,0.21629,0.22097,0.22417,0.19254
199,Eze,CRY,MID,6.6,1.79105,2.63082,2.66324,2.97417,2.91593,2.94504,2.79767,2.91036
200,Guéhi,CRY,DEF,4.5,2.55652,2.25143,2.43582,2.60311,2.67114,2.36444,2.65449,2.28555
201,Henderson,CRY,GK,4.4,4.16173,2.71857,3.31403,3.60335,3.89382,3.01687,4.22329,2.90958
